18797	60.25	2.39	56.84	3.19
18798	63.97	2.15	63.41	2.26
18800	58.07	1.89	60.56	2.43
18801	59.10	1.92	60.88	2.15
18803	54.61	1.96	57.78	1.95
18804	58.04	1.87	58.30	2.33
18805	54.80	1.89	56.65	2.17
18806	62.08	2.09	63.48	2.24
18807	58.14	1.95	59.34	2.74
18815	57.90	2.93	56.26	3.25
18816	55.58	2.04	57.85	2.37
18817	56.44	1.98	58.36	2.95
18818	56.20	2.53	56.97	3.00
18819	54.67	1.74	58.30	2.03
18820	55.99	1.91	52.59	2.39
18827	58.19	1.92	55.67	2.65
18828	54.43	2.12	52.45	2.95
18829	57.27	1.98	57.70	2.50
18833	63.81	2.43	57.85	3.35
18837	60.94	2.49	60.38	2.67
18838	58.50	2.17	55.83	2.07
18843	62.11	2.07	60.47	2.45
18846	60.85	1.99	59.13	2.36
18847	58.72	1.96	58.24	2.12
18848	61.62	2.00	58.61	1.93
18849	53.23	2.19	53.89	2.22
18850	58.42	2.75	56.47	2.39
18852	56.79	2.16	48.49	2.22
18853	54.24	2.45	54.11	2.93
18854	57.34	2.59	53.96	2.38
18855	56.45	2.33	52.97	3.38
18856	62.41	3.66	56.42	2.26
18857	59.38	2.52	55.92	2.46
18865	58.66	2.46	53.91	3.96
18866	62.17	1.96	65.80	3.82
18868	57.90	1.88	62.13	2.18
18875	54.20	2.19	61.17	2.26
18876	57.78	2.22	58.84	2.04
18877	58.41	1.88	59.43	1.82
18878	59.97	2.14	61.66	1.98
18881	60.98	2.07	62.46	1.95
18882	54.56	2.14	62.63	1.89
18883	55.15	1.97	57.54	1.86
18884	56.36	2.63	59.00	1.78
18892	55.08	2.17	58.99	2.02
18893	60.28	2.23	61.26	2.47
18894	55.20	1.79	57.94	1.91
18895	55.23	1.86	56.94	1.79
18897	57.76	1.64	61.75	2.18
18898	58.58	1.90	56.89	2.36
18900	57.08	1.92	58.31	2.02
18901	54.33	1.99	59.07	2.01
18903	53.89	1.93	58.03	2.12
18904	51.13	2.68	58.10	3.09
18905	54.85	1.89	55.84	2.17
18906	54.18	2.19	49.42	2.37
18907	57.96	2.66	57.38	2.46
18908	54.83	2.00	58.75	2.32
18909	55.12	2.05	55.64	1.93
18914	53.72	1.86	55.62	1.92
18915	48.42	1.54	53.01	2.19
18916	49.30	2.20	54.52	2.71
18917	45.50	1.89	47.77	2.00
18920	45.87	2.14	53.77	2.19
18921	51.07	2.84	58.25	3.26
18922	53.06	1.96	58.13	2.08
18923	49.33	1.83	56.23	2.12
18924	54.24	2.02	58.36	2.12
18925	52.61	1.93	55.36	2.19
18926	53.59	1.86	54.21	2.11
18928	54.55	2.26	58.98	2.51
18930	49.86	1.55	54.35	2.01
18931	49.95	2.09	53.62	2.13
18938	58.38	3.89	49.43	6.33
18941	59.98	2.67	54.09	2.63
18942	49.27	2.15	50.67	2.11
18943	51.97	1.84	54.50	2.27
18944	51.78	2.33	54.72	2.35
18946	56.25	2.24	55.68	2.52
18948	52.22	2.80	51.70	2.75
18949	44.98	2.22	48.83	2.37
18950	47.71	2.73	52.46	2.46
18951	43.53	2.27	51.50	2.51
18952	50.01	2.22	51.58	2.24
18953	45.76	2.75	53.93	2.72
